Designator,Mid X,Mid Y,Rotation,Layer
C1,110.475000,-119.300000,180.000000,top
C3,148.455000,-109.270000,180.000000,top
C4,148.455000,-114.770000,180.000000,top
C5,148.255000,-120.970000,180.000000,top
C6,148.455000,-125.870000,180.000000,top
C_AVDD_1,120.935000,-120.930000,180.000000,top
C_AVDD_2,120.700000,-123.430000,180.000000,top
C_DVDD_1,131.800000,-110.200000,90.000000,top
C_FILT1,124.610000,-125.265000,-90.000000,top
C_FILT2,127.210000,-125.265000,-90.000000,top
C_FILT3,129.710000,-125.265000,-90.000000,top
C_FILT4,131.800000,-125.375000,-90.000000,top
D1,110.437500,-127.050000,180.000000,top
FB1,110.487500,-122.300000,0.000000,top
R1,138.460000,-153.045000,90.000000,top
R2,138.500000,-146.625000,90.000000,top
R3,138.500000,-140.370000,90.000000,top
R4,138.500000,-134.225000,90.000000,top
R5,136.310000,-109.100000,90.000000,top
R6,128.680000,-108.975000,90.000000,top
R7,126.140000,-109.025000,90.000000,top
R8,149.975000,-153.800000,0.000000,top
R9,149.785000,-147.475000,0.000000,top
R10,149.955000,-141.210000,0.000000,top
R11,149.795000,-135.020000,0.000000,top
R12,145.455000,-111.370000,0.000000,top
R13,145.355000,-117.270000,0.000000,top
R14,145.355000,-123.370000,0.000000,top
R15,145.355000,-128.170000,0.000000,top
R16,114.825000,-123.090000,0.000000,top
R17,114.825000,-125.600000,0.000000,top
U1,128.285000,-117.340000,90.000000,top
