Designator,Comment,Footprint,LCSC Part #,Mouser Part #
C1,100nF,C_0603_1608Metric,C14663,
C3,100n,C_0603_1608Metric,C14663,
C4,100n,C_0603_1608Metric,C14663,
C5,100n,C_0603_1608Metric,C14663,
C6,100n,C_0603_1608Metric,C14663,
C_AVDD_1,0.1u,C_0603_1608Metric,C14663,
C_AVDD_2,10u,C_0805_2012Metric,C15850,
C_DVDD_1,100n,C_0603_1608Metric,C14663,
C_FILT1,0.33u,C_0603_1608Metric,C1615,
C_FILT2,0.33u,C_0603_1608Metric,C1615,
C_FILT3,0.33u,C_0603_1608Metric,C1615,
C_FILT4,0.33u,C_0603_1608Metric,C1615,
D1,BZX84C5V6,SOT-23,C82471,
FB1,330Ω,L_0603_1608Metric,C79913,
R1,1k,R_0603_1608Metric,C21190,
R2,1k,R_0603_1608Metric,C21190,
R3,1k,R_0603_1608Metric,C21190,
R4,1k,R_0603_1608Metric,C21190,
R5,10k,R_0603_1608Metric,C25804,
R6,10k,R_0603_1608Metric,C25804,
R7,10k,R_0603_1608Metric,C25804,
R8,12k,R_0603_1608Metric,C22790,
R9,12k,R_0603_1608Metric,C22790,
R10,12k,R_0603_1608Metric,C22790,
R11,12k,R_0603_1608Metric,C22790,
R12,10k,R_0603_1608Metric,C25804,
R13,10k,R_0603_1608Metric,C25804,
R14,10k,R_0603_1608Metric,C25804,
R15,10k,R_0603_1608Metric,C25804,
R16,5K1,R_0603_1608Metric,C23186,
R17,5K1,R_0603_1608Metric,C23186,
U1,ADS1256IDBR,SSOP-28_5.3x10.2mm_P0.65mm,C28186,
